reconstruction_error,true_class,predicted_class,alert
0.10087638896973736,0,0,0
1.4122649139069943,0,0,0
0.7478680726381088,0,0,0
0.07037426858721635,0,0,0
0.2514781264841836,0,0,0
0.09818588042948623,0,0,0
0.3030416950102018,0,0,0
0.24511322100270452,0,0,0
0.18903992920999454,0,0,0
0.2402467171040599,0,0,0
3.8259908954278288,0,1,1
0.4016327251115782,0,0,0
0.1567896622147485,0,0,0
0.11772504751295126,0,0,0
0.1054960815622277,0,0,0
0.10634860484963898,0,0,0
0.20773932502470352,0,0,0
0.09161817694957078,0,0,0
0.5248815355789802,0,0,0
0.18931382456948836,0,0,0
0.20177449397319763,0,0,0
0.1800726476126882,0,0,0
0.10774762975984094,0,0,0
0.21008895411876516,0,0,0
0.1399519707630603,0,0,0
0.3279818813525986,0,0,0
0.2974786729354514,0,0,0
0.26250531265607885,0,0,0
0.2666180449943477,0,0,0
0.3061245978153494,0,0,0
0.17769203495780878,0,0,0
0.21753326762901934,0,0,0
0.19747684485787778,0,0,0
0.20865986698607425,0,0,0
0.1442883592514073,0,0,0
0.1705004269581766,0,0,0
1.391023667133852,0,0,0
0.05837624378616981,0,0,0
0.3577596970140974,0,0,0
0.11178275092013192,0,0,0
0.11379027907562579,0,0,0
0.42669975805120336,0,0,0
0.08133357128763234,0,0,0
0.6108605495356971,0,0,0
0.19653043617594831,0,0,0
0.17919059724640574,0,0,0
0.2554342548639417,0,0,0
0.17841929957224412,0,0,0
0.3078372819171121,0,0,0
1.053679165038928,0,0,0
0.4503331175027403,0,0,0
0.116304408298992,0,0,0
0.2011575053348874,0,0,0
0.12207702365205517,0,0,0
0.13416904886676734,0,0,0
0.5188703828719107,0,0,0
0.9182336613362293,0,0,0
0.11563431579547027,0,0,0
0.5495706548041938,0,0,0
0.7411991473768078,0,0,0
0.17131168228137417,0,0,0
0.1786773247601761,0,0,0
0.1827271877237003,0,0,0
0.32455218529720425,0,0,0
0.9265276506310671,0,0,0
0.3476227428891912,0,0,0
0.2550151890041467,0,0,0
0.1935348122781108,0,0,0
0.08734365463734424,0,0,0
0.10643290135915648,0,0,0
0.28830452137165646,0,0,0
0.188930962060425,0,0,0
0.4133095833297488,0,0,0
0.21353481643084032,0,0,0
0.3629598953523573,0,0,0
0.12097282802496231,0,0,0
0.17985916927440262,0,0,0
0.13307814920015906,0,0,0
